Tarih,Kategori,Miktar
2025-01-02,Market,320
2025-01-03,Ulaşım,55
2025-01-04,Yeme-İçme,120
2025-01-07,Fatura,450
2025-01-08,Elektronik,1800
2025-01-10,Market,280
2025-01-12,Kırtasiye,95
2025-01-14,Eğlence,150
2025-01-17,Sağlık,220
2025-01-20,Market,310
2025-02-01,Yeme-İçme,75
2025-02-04,Fatura,460
2025-02-06,Ulaşım,60
2025-02-09,Market,190
2025-02-11,Eğlence,200
2025-02-15,Elektronik,650
2025-02-18,Market,240
2025-02-20,Sağlık,300
2025-02-23,Kırtasiye,110
2025-03-01,Market,210
2025-03-03,Ulaşım,70
2025-03-05,Yeme-İçme,180
2025-03-07,Fatura,440
2025-03-09,Market,260
2025-03-12,Eğlence,170
2025-03-15,Sağlık,270
2025-03-17,Kırtasiye,85
2025-03-20,Market,230
2025-03-22,Elektronik,900
2025-03-25,Market,310
2025-03-27,Yeme-İçme,130
2025-03-28,Fatura,460
2025-03-30,Eğlence,250
2025-03-31,Market,340
